2004–	2004-
Danna	Dainna
Darogiel	Dárogiel
Davas	Davás
Davve-Ámeriikka	Davvi-Amerihkká
Davveoarje	Davveoarji
Davvioarjje-Ruoššain	Davvioarje-Ruoššain
Davvi-Amerihka	Davvi-Amerihká
Davvi-Ameriikas	Davvi-Amerihkás
Davvi-Kyprosas	Davvi-Kyprosis
DavviNorgga	Davvi-Norgga
Davvirikkaid	Davviriikkaid
Dađibáhabut	Dađibahábut
Deadnogáttis	Deatnogáttis
Deaiv-vadat	Deaivvadat
Dealdda	Dieldda
Dearvuođaiguinl	Dearvuođaiguin
Deavkehanjohkii	Deavkkehanjohkii
Deháleammos	Deháleamos
Dehálšamoš	Deháleamos
Denodagas	Deanodagas
Depermeanta	Departemeanta
Diehtelasat	Diehttelasat
Diehtetmeahttun	Diehtemeahttun
Dienna	Dieppe
Dievdolbmot	Dievdoolbmot
Dievdolmmoš	Dievdoolmmoš
Dig-forsk	Digforsk
Diggeoasseváldiŧ	Diggeoasseváldit
Diggeálbmoŧ	Diggeálbmot
Diibma	Diibmá
Diihten	Dihten
Diistaga	Disdaga
Divddasvuona	Divttasvuona
Divrrat	Divrrát
Divtasvuona	Divttasvuona
Divtasvuonas	Divttasvuonas
Divvumaŧ	Divvumat
Doaivvon	Doaivvun
Doaivvošiige	Doivvošiige
Doavddán	Dovddan
Dohkketmeahtun	Dohkketmeahttun
Dovddán	Dovddan
Dubmekeahttái	Dubmekeahttá
Duhtátjagiulbmilat	Duhátjagiulbmilat
Duodaid	Duođaid
Duodje	Duodji
Duogaš	Duogáš
Duojárid	Duojáriid
Duolbmukeahttá	Duolmmokeahttá
Duopmar	Duopmár
Duođa-štuvvon	Duođaštuvvon
Durkkihanvarri	Durkkihanvárri
Durkkihaváris	Durkkihanváris
Dutkosistis	Dutkosisttis
Duŧkamat	Dutkamat
Dáddárráđi	Dáiddárráđi
Dáhkadusásahusat	Dáhkádusásahusat
Dáiddáseminára	Dáiddaseminára
Dálbmeluoktá	Dálbmeluokta
Dálkkiha	Dalkkiha
Dálmmás	Dálmmas
Dálve-Olympiija	Dálveolympiija
Dánsesdehpet	Dánsestehpet
Dáruiduhttema	Dáruiduhttima
Dáruiduhttenfámut	Dáruiduhttinfámut
Dáruiduhttenpolitihkka	Dáruiduhttinpolitihkka
Dássažii	Dássážii
Dásseárvo	Dásseárvu
Dássožii	Dassážii
Dásá	Dasa
Dávvi	Davvi
Dávviorvuorkkain	Dávvirvuorkkáin
Dávvirvuorkáid	Dávvirvuorkkáid
Dávvi-Romssa	Davvi-Romssa
Dávvipovla	Davvipovla
Dørun	Dørum
E-paosta	E-poasta
EU-doarjjut	EU-doarjut
Eahkdismállásat	Eahkedismállásat
Eahpikeahttá	Eahpitkeahttá
Eahpitheahttá	Eahpitkeahttá
Ealisabeth	Elisabeth
Ealuigun	Ealuiguin
Ealahusovddideapmi	Ealáhusovddideapmi
Eanadalit	Eandalii
Eanadateknologiija	Eanadatteknologiija
Eanadoallošiehtádus	Eanadoallošiehtadus
Eanaeaiggáŧ	Eanaeaiggát
Eanaháldduŧ	Eanahálddut
Eanamiid	Eatnamiid
Eanandoalloálggahandoaimmaŧ	Eanandoalloálggahandoaimmat
Eanandoallpdepartementtas	Eanandoallodepartemeanttas
Eanemušain	Eanemusain
Eara	Eará
Earenoamažit	Earenoamážit
Eatnamsearvi	Eatnansearvi
Eaŋgelas	Eŋgelas
Eca	Eva
Eckerôas	Eckerös
Eearret	Earret
Eiseváldiin	Eiseválddiin
Ellern	Ellen
Elliinài	Elliinai
Enenezer	Ebenezer
Ere-noamážit	Erenoamážit
Erlad	Erland
Esctasy	Ecstasy
Espánjjagiela	Espánnjagiela
Europás	Eurohpás
Evttohuš	Evttohus
Eŋgelánda	Englánda
Eŋgelándda	Englándda
Eŋgelánddas	Englánddas
FInnmárkku	Finnmárkku
Fagagirječálliid	Fágagirječálliid
Fatnuid	Fádnuid
Favrresorda	Fávrresorda
Favrrumus	Fávrrumus
Feastonuohtiin	Feastonuhtiin
Fefte	Feste
Feltassisteantakurssa	Fealtaassisteantakurssa
Fiervva	Fiervvá
Fiijii	Fijii
Filbmagavpot	Filbmagávpot
Filipiinnaid	Filippiinnaid
Final	Finála
Finnmarkshállas	Finnmarkshallenis
Finnmrkku	Finnmárkku
Finnmrkkus	Finnmárkkus
Finnmrku	Finnmárku
Finnmáerkkuláhka	Finnmárkoláhka
Finnmákku	Finnmárkku
Finnmárkkukommišuvnda	Finnmárkkukommišuvdna
Finnámrkku	Finnmárkku
Finnámrkkus	Finnmárkkus
Fjeringsby	Fjerdingby
Foslet	Hvoslef
Friddagirku	Friddjagirku
Fuomašiin	Fuomášin
Fuomašuhttit	Fuomášuhttit
Fuoskus	Fuoskkus
Fuse	Fause
Fylkkadikkeáirrasat	Fylkkadiggeáirasat
Fysioterapiijaossadat	Fysioterapiijaossodat
Fábmu	Fápmu
Fágalaccat	Fágalaččat
Fámuhuhttejuvvon	Fámuhuhttojuvvon
Fánasgieddis	Fanasgiettis
Fápmuduš	Fápmudus
Fávrosorda	Fávrrosorda
Fávrosordda	Fávrrosordda
GLR:ai	GLR:i
Gahcahatvuoigatvuodat	Gahčahatvuoigatvuođat
Gaimmatvuovdi	Galmmatvuovdi
Galanitu	Gálaniitu
Galga	Galgá
Galggaši	Galggašii
Gamehiseana	Gámehiseana
Gaoppašiid	Goappašiid
Gargiijá	Gargia
Gargijái	Gargiai
Garigasnjárgga	Gáregasnjárgga
Garrajåkka	Garrajohka
Gartnetluohkká	Gártnetluohkká
Gaska-Ameriikas	Gaska-Amerihkás
Gaskái	Gaskii
Gasska	Gaska
Gasska-Nordlándda	Gaska-Nordlándda
Gaupai	Gaupii
Geahčanveara	Geahččanveara
Geaidnodoaimmahaŧ	Geaidnodoaimmahat
Geaidnoossodaŧ	Geaidnoossodat
Geaimmujohka	Geaimmejohka
Geatnegáhttá	Geatnegahttá
Geavgná	Geavgŋá
Genev:as	Geneves
Geomehtralaš	Geometralaš
Gi	Gii
Giellaguovddá_	Giellaguovddáš
Giljobašat	Giljobaččat
Ginsbergga	Ginsberga
Girdisealskáhpat	Girdiselskáhpat
Girjjálašvuoa	Girjjálašvuođa
Girjjáča	Girjjáža
Girkonjár	Girkonjárgga
Gnddat	Gánddat
Goahtegerret	Goahtegearret
Goahttegearrega	Goahtegearrega
Goalmmat	Goalmmát
Goađáŧ	Goađát
Goaŧáhusvihki	Goaŧohisvihki
Goddejávrai	Goddejávrái
Golfklubbas	Golfaklubbas
Golmmá	Golmma
Gonagasreabbáid	Gonagasreappáid
Gonagassa	Gonagasa
Gorvvejávris	Gorvvejávrris
Gouvdageainnu	Guovdageainnu
Gouvdageainnus	Guovdageainnus
Govddášnissoniid	Guovddášnissoniid
Govvijeaddji	Govvideaddji
Greanpeace	Greenpeace
Greenpeaca	Greenpeace
Gråven	Growen
Grønum	Grønnum
Guhkesnárga	Guhkesnjárga
Guhta	Guhtta
Guktut	Guktot
Guldealeaddjit	Guldaleaddjit
Guoladaga	Guoládaga
Guoladága	Guoládaga
Guoldaga	Guoládaga
Guollebiebmanealáhuš	Guollebiebmanealáhus
Guollebivdovuoigatvuoda	Guollebivdovuoigatvuođa
Guolleboránis	Guolleboranis
Guolástusdirektorahta	Guolástusdirektoráhtta
Guovageainnu	Guovdageainnu
Guovdagainnu	Guovdageainnu
Guovdageaidnulačči	Guovdageaidnulažžii
Guovdageainni	Guovdageainnu
Guovdageainnnu	Guovdageainnu
Guovdageainnulaš	Guovdageaidnulaš
Guovdageiannus	Guovdageainnus
Guovdageidnulačči	Guovdageaidnulažžii
Guovdageidnu	Guovdageaidnu
Guovdageinnu	Guovdageainnu
Guovdageinnus	Guovdageainnus
Guovddášbelodat	Guovddášbellodat
Guovddášdoaimmadat	Guovddášdoaimmahat
Guovdo	Guovdu
Guovllasttin	Guovllastin
Guovlluhistorjja	Guovlluhistorjjá
Gurbesvuovdi	Gurbbešvuovdi
Gurbmutvuobmi	Gurpmotvuopmi
Guvddatmohkis	Čoavddatmohkis
Guvodageainnu	Guovdageainnu
Gáissáá	Gáissá
Gáit	Gait
Gáivuinas	Gáivuonas
Gáivuoina	Gáivuona
Gáivuonjoavku	Gáivuonajoavku
Gálddooaivvi	Gáldooaivvi
Gámásuoidnegánddaiguin	Gámasuoidnegánddaiguin
Gárasávvona	Gárasavvona
Gáresavvona	Gárasavvona
Gáresávvonis	Gárasavvonis
Gárgovárrai	Gárgovárrái
Gáržžideamiŧ	Gáržžideamit
Gáttan	Gáttán
Gáttatban	Gáttátban
Gáttatgo	Gáttátgo
Gávpenjuolggadusaŧ	Gávpenjuolggadusat
Gávávži	Gávvávži
Gáŋgaviikas	Gáŋgaviikkas
Gáŋgáviika	Gáŋgaviika
Gážaldagat	Gažaldagat
Haetta	Hætta
Haga:i	Hagai
Hagene	Hagena
Halone	Halonen
Hamburggas	Hamburgas
Hammarfeastta	Hámmárfeastta
Hammerfeastas	Hámmárfeasttas
Hámmirfeasta	Hámmárfeasta
Hannela	Hannele
Harjanán	Hárjánan
Hasviika	Hasvik
Hasviikkas	Hasvikas
Haŋŋa	Haŋŋá
Healuimet	Heajuimet
Heandrat	Heandarat
Hearjjága	Hearjjaga
Heastavuoddjimat	Heastavuodjimat
Heattá	Heatta
Heikk-Elle	Heikka-Elle
Heikk-Elles	Heikka-Elles
Heittet	Heitet
Helnner	Hellner
Henrinsen	Henriksen
Historjjalaččat	Historjjálaččat
Hollánddalaš	Hollándalaš
Hologalándda	Hålogalándda
Humaetihkkáriid	Humanetihkkáriid
Humanistalaš	Humanisttalaš
Huskyis	Huskys
Huvärinen	Hyvärinen
Hábmiris	Hápmiris
Hálddahuslaccat	Hálddahuslaččat
Hálddádus	Hálddahus
Hámmerfeastas	Hámmárfeasttas
Hámmárfesttii	Hámmárfestii
Hánnoluohkka	Hánnoluohká
Hålogalandda	Hålogalánda
Hålogalanddas	Hålogalánddas
Hålogland	Hålogaland
Hålogolándda	Hålogalándda
Håvardl	Håvard
Hætt	Hætta
IF:ai	IF:i
ILO-konvešuvnna	ILO-konvenšuvnna
ILO-šiehtadussi	ILO-šiehtadussii
Iesjohtjoavku	Iešjotjoavku
Iešjoht	Iešjoga
Iešjohtjoavku	Iešjotjoavku
Iešjárluntta	Iešjárlunttat
Iešjávrai	Iešjávrái
Ihko	Itgo
Ikkáldas	Ikkaldas
Ikkáldasas	Ikkaldasas
Ilisai	Ilisii
Imáštalat	Imaštalat
InfoNuorra	Infonuorra
Ingir	Iŋgir
Ingira	Iŋgira
Ingirii	Iŋgirii
Ingiris	Iŋgiris
Ingrebrigt	Ingebrigt
Internáhttá	Internáhtta
Internšunála	Internašunála
Intrique	Intrigue
Ipmel	Ipmil
Iráka	Iraka
Issaht	Issát
Itálija	Itália
Ivgogákti	Ivgu-gákti
Ivgogávttis	Ivgu-gávttis
Ivgoheasta	Ivguheasta
Ivgoheasttain	Ivguheasttain
Ivgos	Ivgus
Ivniiguin	Ivnniiguin
Iŋga	Iŋgá
JOhan	Johan
Jaglandda	Jaglanda
Jahkedieđahusastis	Jahkedieđáhusastis
Jakutija	Jakutia
Jesos	Jesus
Jieastanstivra	Jienastanstivra
Jietnja	Jiekŋa
Jille-Njaarke	Jillen-Njaarke
Joatkas	Joatkkas
Joatkaskuvla	Joatkkaskuvla
Joatkaskuvlla	Joatkkaskuvlla
Joatkaskuvllas	Joatkkaskuvllas
Joatkaskuvllat	Joatkkaskuvllat
Joavkojođiheaddjide	Joavkojođiheddjiide
Joavkočiekačan	Joavkočiekčan
Joccástalai	Joccastalai
Jogos	Jogo
Johskareng	Johnskareng
Johtulatlávde	Johtolatlávde
Johtulatsuorggi	Johtolatsuorggi
Johttisapmelaččaid	Johttisápmelaččaid
Jompanen	Jomppanen
Jortamor	Jortamovra
Juigamus	Juoigamuš
Julev-Youtube	Julev-YouTube
Julevsame	Julevsáme
Julis	Julius
Juohkinkeahttá	Juogakeahttá
Juoiga	Juoigá
Juornalisttaid	Journalisttaid
Jussaŧ	Jussá
Justisdepartementta	Justiisadepartemeantta
Juvddáláččat	Juvddálaččat
Jámolaš-vuohta	Jámolašvuohta
Jávo	Javo
Jávrrahašmohkki	Jávrrehašmohkki
Jønnson	Jønsson
Kainna	Kaina
Kalaalit	Kalaallit
Karasjoga	Kárášjoga
Karlstrõm	Karlström
Karášjoga	Kárášjoga
Karášjogas	Kárášjogas
Kategoriafáktor	Kategoriijafáktor
Kernmo	Kvernmo
Kiinás	Kiinnás
Kinalaččat	Kiinnálaččat
Kiná	Kiinná
Kistránddas	Kistrandas
Kiuna	Kiruna
Kjellman	Kjellmann
Kommunistalaš	Kommunisttalaš
Konfirmanttaid	Konfirmánttaid
Konfirmášuvdna	Konfirmašuvdna
Konklusuvdna	Konklušuvdna
Korpilähte	Korpilähde
Kristiansánddas	Kristiansandas
Kulturmuittuŧ	Kulturmuittut
Kuoljak	Kuoljok
Kvasshag	Kvasshaug
Kvesullos	Kvæøyas
Kyprosas	Kyprosis
Kárášjoht	Kárášjoga
Kárášjot	Kárášjoga
Kárášoga	Kárášjoga
Káráššjoga	Kárášjoga
Káršjogas	Kárášjogas
Káršájoga	Kárášjoga
Káršájogas	Kárášjogas
Káršájohka	Kárášjohka
Københammanis	Københámmanis
Københápmanis	Københámmanis
LaMK	LaMk
Lagabuid	Lagabui
Lansaman	Länsman
Lašmahallan	Lášmmohallan
Leavdja	Leavdnja
Leavdjá	Leavdnja
Leavdnjas	Leavnnjas
Leavdnjá	Leavdnja
Leavnjas	Leavnnjas
Leavnjja	Leavnnja
Leavnjjas	Leavnnjas
Leavssejohka	Leavššejohka
Legenbargu	Leŋgenbargu
Lehtet	Lehpet
Leimet	Leimmet
Lemaha	Lemeha
Lenta	Länta
Liihkku	Lihkku
Lillestrømma	Lillestrøma
Lillestrømmas	Lillestrømas
Lillestrømmii	Lillestrømii
Lilletunai	Lilletunii
Lindbeack	Lindbeck
Linkunjávrái	Liŋkonjávrái
Linnjáfierpmádaŧ	Linnjafierpmádat
Livzavihki	Livzávihki
Livzzavihkái	Livzávihkái
Lišmajok	Lišmmajohka
Loabagis	Loabágis
Loabakáiddi	Loabákáiddi
Loabáid	Loabágiid
Loahppakonsonáttat	Loahppakonsonánttat
Lodejeaddjis	Loddejeaddjis
Lodiga	Lodigiid
Logaldallamistis	Logaldallamisttis
Lohppačiekčamat	Loahppačiekčamat
Luhter	Luther
Lujvrri	Lujávrri
Lujvrris	Lujávrris
Lujávrelaš	Lujávrilaš
Lujávrres	Lujávrris
LulliRomssas	Lulli-Romssas
LuoktaMavas	Luokta-Mavas
Luonddgáhttensearvvi	Luonddugáhttensearvvi
Luonddogáhttejeaddjit	Luonddugáhttejeaddjit
Luonddogáhttensearvi	Luonddugáhttensearvi
Luonddugáhtensearvi	Luonddugáhttensearvi
Luopmánid	Luopmániid
Luostat	Luosttat
Luostejohk	Luostejohka
Lysingbláđis	Lysingsbladas
Lábbájoht	Lábbájohka
Lágabui	lagabui
Lákcájieŋa	Lákcajieŋa
Lákkovuon	Lákkovuona
Lássin	Lassin
Lássagámmi	Lásságámmi
Lávsdegottis	Lávdegottis
Lášmmohallanbasseŋga	Lášmmohallanbasseaŋga
MAy	May
Maastericht-šiehtadusa	Maastricht-šiehtadusa
Mackbeth	Macbeth
Maggá	Magga
Maghild	Magnhild
Magnhilld	Magnhild
Mahtisen	Mathisen
Mahtte	Máhtte
Mailevađđa	Máilevađđa
Manabajskaidi	Mánabaiskáidi
Manassei	Manassii
Mancester	Manchester
Mannjilgaskabeaivi	Maŋŋilgaskabeaivi
Manty	Mänty
Manŋimuš	Maŋimuš
Marehis	Márehis
Maret	Máret
Margarehte	Margarethe
Marjjábeaivvi	Márjjábeaivvi
Markanis	Márkanis
Maskevarre	Máskevárri
Maurlad	Maurstad
Maze	Máze
Maŋumustá	Maŋimustá
Maŋŋeseattes	Maŋŋeseahtas
Maŋŋičavčča	Maŋŋečavčča
Meahcce	Meahcci
Meahccedoalloministerjiija	Meahccedoalloministeriija
Meahccedoalloministerjiijjas	Meahccedoalloministeriijas
Meahceallit	Meahcieallit
Meannudemit	Meannudeamit
Mearradoalloealáhuš	Mearradoalloealáhus
Mearradusat	Mearrádusat
Meksikoas	Meksikos
Menchou	Menchu
Menhcú	Menchú
Mieleavttos	Mieleavttus
Miellahttut	Miellahtut
Mieronjavri	Mierojávri
Miesesmánu	Miessemánu
Mieđihán	Mieđihan
Mihtádusvuoigavuohta	Mihtidanvuoigatvuohta
Miin	Min
Millijuvnna	Millijovnna
Minaralutvikling	Mineralutvikling
Mineralutviklig	Mineralutvikling
Moatte	Moatti
Modella	Modealla
Mokkesáivii	Mohkkesáivii
Mollesjohka	Mollešjohka
Morrotaja	Morottaja
Moskavuon	Moskavuona
Movttidahttejit	Movttiidahttet
Muhtu	Muhto
Muhtu-massii	Muhtumassii
Mujhto	Muhto
Munje	Munnje
Muohto	Muhto
Muoidonvarbuollan	Muoidunvárbuollán
Muorralčázádaŧ	Muorralčázádat
Muosat	Muosát
Muttursykkelat	Mutursykkelat
Muturfievro	Muturfievru
Myllalä	Myllylä
MÁRKÁ	MÁRJÁ
Máhkárávju	Máhkarávju
Máilbme	Máilmme
Mákkar	Makkár
Mákkarávjui	Máhkarávjui
Mánaid	Mánáid
Mánga	Máŋga
Mánáguovttus	Mánáguovttos
Márjjážá	Márjjáža
Márkasámit	Márkosámit
Másjohka	Máskejohka
Mátke	Mátkke
Mátkkoštuseláhus	Mátkkoštusealáhus
Mátta-Várjaga	Mátta-Várjjaga
Máttá-Trøndelága	Mátta-Trøndelága
Máttá-Várjjaga	Mátta-Várjjaga
Máttá-Várjjagis	Mátta-Várjjagis
Máttá-Várjjat	Mátta-Várjjat
Máŋemus	Maŋemus
Máŋimuš	Maŋimuš
Máŋŋá	Maŋŋá
Máhttupárkii	Máhttopárkii
NIls	Nils
NSR:ai	NSR:i
Naka-mura	Nakamura
Namsriektái	Nammariektái
Narviikas	Narvikas
Navajo-reservahtas	Navajo-reserváhtas
Navajoat	Navajot
Navuona	Návuona
Našuvnnalš	Našuvnnalaš
Neaktarat	Neaktárat
Neavttarat	Neavttárat
Nenettsa	Nenetsa
Niemelæ	Niemelä
Niemila	Niemelä
Niitovuopi	Niitovuopio
Niitovuoppio	Niitovuopio
Niitošjoga	Niittošjoga
Niitošjogas	Niittošjogas
Niitošjogaš	Niittošjogas
Niityvuopio	Niittyvuopio
Nissonkonferána	Nissonkonferánsa
Nittyvuopio	Niittyvuopio
Njargasas	Njárgasaš
Njealjje	Njeallje
Njealjji	Njealji
Njealjját	Njealját
Njealljis	Njealjis
Njeallját	Njealját
Njereveaji	Njeareveaji
Njuorggimas	Njuorggámis
Njuorggánii	Njuorggámii
Njuorggániin	Njuorggámiin
Njávdamis	Njávdámis
Njávddáma	Njávdáma
Njávdánis	Njávdámis
Nohkkastit	Nohkastit
Nohkohalaimet	Nohkkohalaimet
Nonsrichzi	Nonsrichai
Noradas	Noradis
Noraidkonsuleanta	Nuoraidkonsuleanta
Norbottenis	Norrbottenis
Nordkahppii	Nordkáhppii
Nordlandda	Nordlándda
Norgag	Norgga
Norgags	Norggas
Norggaáittárdeaddji	Norggaáittardeaddji
Nostalgiia	Nostalgiija
Nousoniemi	Nousuniemi
Novdal	Nordal
Numeralaš	Numerálalaš
Nuorta-Sibirjás	Nuorta-Sibirjjás
Nuortaráissas	Nuorta-Ráissas
Nuortasievju	Nuorta-Sievju
Nuppastuhttinprográmma	Nuppástuhttinprográmma
Nuppážii	Nuppádis
Nuvtta	Nuvttá
Nystøai	Nystøi
Nystøii	Nystøi
Náranas	Náránaš
Náranaša	Náránačča
Náranašas	Náránaččas
Nárranaš	Náránaš
Návda	Navdá
Näkkeljoga	Neahčiljoga
Näkkeläjärvi	Näkkäläjärvi
Oahpahepmit	Oahpaheamit
Oahpahusfálaldagid	Oahpahusfálaldagaid
Oahpahusmininsteriija	Oahpahusministeriija
Oahpahusminsteriijas	Oahpahusministeriijas
Oahpahussurggis	Oahpahussuorggis
Oahpahusvearsttás	Oahpahusvearstás
Oahpeheaddji	Oahpaheaddji
Oahpit	Oahppit
Oahppofáláldagas	Oahppofálaldagas
Oaidnitmeahttun	Oaidnemeahttun
Oaidnáleapmái	Oaidnaleapmái
Oaindnit	Oaidnit
Oainnan	Oainnán
Oamasvuona	Omasvuona
Oamasvuotna	Omasvuotna
Oanehaccat	Oanehaččat
Oanádusaŧ	Oanádusat
Oapahusoassi	Oahpahusoassi
Oapahusvirggit	Oahpahusvirggit
OarjeFinnmárkku	Oarje-Finnmárkku
OarjeFinnmárkkus	Oarje-Finnmárkkus
Oarjel	Oarjil
Oassálasttit	Oassálastit
Oddleig	Oddleif
Odontologisalaš	Odontologalaš
Odná	Odne
Oftund	Oftung
Ohcamistis	Ohcamisttis
