Sámegillii	På norsk
Det kan kanskje i denne anledning være av interesse å se litt på hvordan de første spede forsøk med yrkesforberedende undervisning i reindriftsfag har løpet av ved den 9-årige skolen i Karasjok .	Soaitá dán oktavuođas leat somá geahčadit movt vuosttaš smávva geahččaleamit ledje boazodoallofága fidnoráhkkanahttin oahpahusas 9-jagi skuvllas Kárášjogas .
Innledningsvis bør det pekes på at reindriftens utøvere på ingen måte har fått del i den utbytte- og velstandsøkning som har funnet sted innen andre landbruksnæringer .	Vuosttažettiin ferte fuomášuhttit dan ahte boazodoallu ii leat ožžon oasi dain buriin maid eará eanandoalloealáhusat leat ožžon , dienas- ja buorredili lassáneami oktavuođas .
Reindriften er riktignok en høyst særpreget næring med arbeidssituasjoner som knapt har sin like i andre yrker , men det ligger likevel nær å karakterisere den som en landbruksnæring og da med fedriften som nærmeste sammenlignbare bransje .	Boazodoallu lea gal hui earenoamáš ealáhus mas leat dakkár bargodilit maid ii sáhte buohtastahttit eará fidnuiguin , muhto sáhttá goitge gohčodit dan eanandoalloealáhussan , mas šibitdoallu lea dat suorgi mainna sáhttá buoremusat buohtastahttit .
Husdyrholdet har de siste mannsaldre gjennomgått en rivende utvikling .	Šibitdoallu lea maŋemus buolvvaid hirbmosit rievdan .
Det er nok å peke på at fra 1900 til 1958 er kjøttproduksjonen økt med 80 prosent og produksjonen av kumelk med 110 prosent .	Dušše dat juo muitala olu go diehtit ahte biergobuvttadeapmi lea lassánan 80 % 1900 ' ja 1958 ' gaskkas , ja mielkebuvttadeapmi fas 110 % seamma áigodagas .
Antall dyr er i samme tidsrom økt med bare 35 prosent .	Muhto dien áigodagas eai leat go dušše 35 % lassánan oamit .
Etter siste krig har tendensen innen storfeholdet faktisk gått i retning av færre dyr og samtidig større produksjon .	Maŋŋel soađi leage šibitdoalus leamaš dakkár vierru ahte eai galgga nu ollu oamit , muhto eanet buvttadeapmi .
Dette er en fantastisk utvikling , og hva den betyr for næringens utøvere i spart arbeid og økt sikkerhet , kan neppe måles i penger .	Dat lea earenoamáš buorre ovdáneapmi , ja ii sáhte mihtidit ruđain man ollu sestet barggu ja man sihkkareabbo dat lea dan ealáhusa olbmuide .
En lignende utvikling burde finne sted også innen reindriften , og den bør komme i gang før det er for sent .	Diekkár sullasaš ovdáneapmi galggašii maid leat boazodoalus , muhto dat fertešii álggahuvvot ovdalgo lea ilá maŋŋit .
Det bedrøvelige forhold er dessverre at utbytteøkningen pr. rein ikke en gang har holdt tritt med den alminnelige prisstigning .	Dat heittot bealli lea dađibahábut ahte dienas juohke bohcco nammii ii čuovo dábálaš haddelassáneamige .
Antall rein er riktignok økt i 1950-årene , men den produktive avkastning pr. rein er sannsynligvis blitt mindre etter overgangen til ekstensive driftsforhold .	1950-logus lea boazolohku lassánan , muhto dienas biergobuvttadeamis juohke bohccos lea jáhkkimis njiedjan maŋŋel go rievddai ekstensiiva boazodoallun .
Det kan ikke herske tvil om at det er landbruksforskningen og landbrukets undervisnings- og veiledningstjeneste som har en vesentlig del av æren for produksjonsøkningen innen husdyrnæringen .	Lea eahpitkeahttá eanandoallodutkama ja eanandoalu oahpahan- ja bagadallanbálvalusa gudni ahte šibitdoalus lea lassánan buvttadeapmi .
Når det gjelder reindriften har det vært en populær overtro at den er en så eiendommelig og usivilisert næring at den ikke kan underlegges vitenskapelig forskning , undervisning eller økonomisk planlegging .	Boazodoalus ges lea leamaš dakkár jáhkku ahte dat lea nu earenoamáš ja eahpesiviliserejuvvon ahte dan ii sáhte dieđalaččat dutkat , oahpahit iige plánet ekonomalaččat .
– Alt skulle være som før , og dermed er reindriften blitt akterutseilt .	– Buot galggai leat nu go ovdal ja danne lea boazodoallu bázahallan .
Likevel forsvarer næringen med glans sin plass i vår samfunnshusholdning , idet reinen som det helårs utebeitende « husdyr » den er , nyttiggjør ellers uproduktive fjellvidder som landet vårt har slik en overflod av .	Liikká bealušta ealáhus roahkka iežas saji min servodatekonomiijas , go gearddi boazu lea « šibit » , mii birra jagi guohtu olgun ja ávkkástallá dakkár duoddariid mat min riikkas leat valjis .
Den aktuelle problemstilling for reindriften er i dag : Hvordan tjene mer pr. rein med mindre slit og med større økonomisk sikkerhet for næringsutøveren ?	Čuolbma mii dál lea áigeguovdil boazodoalus lea : Movt dine eambbo juohke bohcco nammii unnit rahčamiin ja buoret ekonomalaš sihkarvuođain boazobargiide ?
Forskning er i og for seg ikke nok .	Dutkan iešalddis ii leat doarvái .
Reineierne må gjøres aktivt interessert i forskningen .	Boazodolliid ferte oažžut eambbo beroštit dutkamis .
De sitter inne med kolossale detaljkunnskaper oppsamlet gjennom generasjoner .	Sii dihtet ollu bienasta bitnii ja sis lea mearihis ollu máhttu maid leat seailluhan buolvvas bulvii .
Disse må forskerne få del i , så de kan overføres til systematisk kunnskap og veves inn i de erfaringer reinforskningen er kommet til .	Dáid dieđuid galggaše dutkit oažžut , vai sáhtáše fievrredit daid systemáhtalaš máhttun ja čadnot daidda vásáhusaide maid boazodutkamušas leat dahkan .
Resultatene må gjøres kjent for yrkesutøverne i en form som kan forstås , og de nye kunnskaper må omsettes i praktisk reindrift .	Bohtosiid galggašii addit boazobargiide dakkár hámis mii lea ipmirdahtti , ja ođđa diehtu fertešii váldot atnui praktihkalaš boazodoalus .
Dette kan bare skje gjennom en organisert veiledningstjeneste hvor reinsamene selv er aktivt med .	Dát sáhttá dušše dáhpáhuvvat organiserejuvvon bagadallanbálvalusa bokte mas boazosámit leat aktiivvalaččat mielde .
Det er i denne forbindelse viktig at skolene for reinsameungdom gir en slik undervisning i reindriftsspørsmål at denne utvikling fremmes .	Dan oktavuođas lea dehálaš ahte skuvllat addet boazosáminuoraide dakkár oahpahusa boazodoallogažaldagain ahte dát ovdáneapmi ovddiduvvo .
Den yrkesforberedende undervisning for vordende reindriftsutøvere må ta sikte på en bevisstgjøring og verdsetting av de gode samiske tradisjoner innen reindriften og samtidig innarbeide en yrkesinnstilling som er vitenskapelig fundert .	Fidnoráhkkanahtti oahpahus boahttevaš boazobargiide ferte bargat dan nala ahte hukse dihtomielalašvuođa ja árvvusatnima dain sámi arbevierun mat leat buorit boazodoalu siskkobealde ja seammás bargat vai šaddá dakkár jurddašanvuohki barggu ektui mii lea dieđalaččat jurddašuvvon .
Den grunnleggende undervisning må bestå i en systematisk gjennomgåing av reinens biologi , reindriftens arbeidsformer og det landskap den skal praktiseres i .	Vuđolaš oahpahusas ferte leat systemáhtalaš oahpaheapmi bohcco biologiijas , boazodoalu bargovugiin ja dan eanadagas gos galgá bargat .
Omsetningsspørsmål , driftsøkonomi , orientering om nye arbeidsformer og forskningsresultater kommer som en naturlig fortsettelse .	Lunddolaš joatkkan oahpaheamis šaddet gálvojođugažaldagat , doaibmaekonomiija , ođđa bargovugiid smiehttan ja dutkanbohtosat .
Det er å håpe at undervisningen kan bibringe de unge en aktiv interesse for forskningen og for å finne frem til mer lønnsomme driftsmetoder , samtidig som de har et våkent øye for de gode samiske tradisjoner .	Ferte sávvat ahte oahpahus maiddái buktá aktiivvalaš beroštumi dutkamii ja dasa ahte gávnnahit bargovugiid mat leat eambbo gánnáhahttit .  Seammás galget sii beroštit buriin sámi árbevieruin .
Ut fra disse intensjoner er det i de senere år drevet undervisning i reindriftsfag ved Karasjok linjedelte ungdomsskole som omfatter de tre øverste klasser i den 9-årige skole .	Dáid áigumušaid vuođul leage daid maŋemus jagiid oahpahuvvon boazodoallofágain Kárášjoga suorgejuhkkojuvvon nuoraidskuvllas , mat leat golbma maŋemus jagi 9-jagi skuvllas .
Den første begynnelse ble gjort i 1956 da faget « flyttsamekunnskap » ble innført i framhaldsskolen i Karasjok med et 108 timers kurs fordelt på 18 uker á 6 timer .	Das lei álgu 1956:s go « johttisámemáhttu » ( flyttsamekunnskap ) álggahuvvui joatkkaskuvllas ( framhaldsskuvllas ) Kárášjogas .  Dan kurssas lei 108 diimmu oahpahus , mii juhkkojuvvui 18 vahkkui , ja lei 6 diimmu vahkkui oahpahus .
Framhaldsskolen for flyttsamer var 2-årig , og det var forutsetningen at disse timene det ene året skulle brukes til samfunnskunnskap og helselære .	Joatkkaskuvla lei 2 jagi johttisámiide , ja lei eaktun ahte nuppi jagi galget dát diimmut adnot servodatohppui ja dearvvašvuođaohppui .
En bredt opplagt prøveplan ble utarbeidet av skoleinspektør Lind Meløy , og lærer Per Lyngstad startet høsten 1956 opp med den første undervisning i faget .	Skuvlahoavda Lind Meløy ráhkadii viiddis geahččalanplána , ja oahpaheaddji Per Lyngstad álggahii vuosttaš oahpahusa dán fágas 1956:s .
Han ble året etter avløst av undertegnede som siden har vært betrodd det videre arbeid med opplegget for undervisningen i flyttsamekunnskap .	Jagi maŋŋel álggii vuolláičálli , gii lea dan rájes beassan bargat johttisámemáhtu oahpahusain .
I 1958 gikk Karasjok kommune i gang med linjedelt ungdomsskole .	1958:s álggahii Kárášjoga gielda suorgejuhkkojuvvon nuoraidskuvlla .
Ved velvillig imøtekommenhet fra Forsøksrådet for skoleverket og Kirke- og Undervisningsdepartementet ble det gitt adgang til å opprette en egen reindriftslinje for 7. – 9. skoleår , – foreløpig er dette den eneste reindriftslinje i landet .	Buorredáhtolaš vuollegašvuođain addui Skuvladoaimmahaga geahččaladdanráđi ja Girko- ja oahpahusdepartemeantta bokte lohpi álggahit sierra boazodoallosuorggi 7. – 9. skuvlajagiide , - mii dál vuos lea áidna boazodoallosuorgi riikkas .
Reindriftslinjas fjellkurs 1959 , ved Ytre Billefjord i Porsanger .	Boazodoallosuorggi meahccekurssa 1959 , Gorbovuonas , Porsáŋggus .
Bjørn Aarseth og veterinær Sven Skjenneberg veier en slaktet kalv .	Bjørn Aarseth ja šibitdoavttir Sven Skjenneberg vihkkeba njuvvon miesi .
Elevene på bildet er Per Eira og Johannes Sara .	Oahppit govas leaba Per Eira ja Johannes Sara .
( Foto : Virginia Davidson / Norsk folkemuseum )	( Govva : Virginia Davidson / Norsk folkemuseum )
Allmenn praktisk reindriftslinje , populært kalt R-linjen , har samme fagkrets og leseplaner i allmennfagene som allmenn praktisk linje ( Y-linjen ) , bortsett fra engelsk .	Dábálaš praktihkalaš boazodoallosuorggis , nu gohčoduvvon R-suorggis , leat dábálaš fágain seamma fágat ja lohkanplánat go dábálaš praktihkalaš suorggis ( Y-suorggis ) , earet eŋgelasgiella .
Dette fag , som er frivillig på Y-linjen , har på R-linjen avgitt sine timer til norsk , samfunnskunnskap og det nye faget flyttsamekunnskap , som er en direkte oversettelse av svenskenes « nomadkunnskap » .	Dat fága lea eaktodáhtolaš Y-suorggis , muhto R-suorggis leat dát diimmut biddjon dárogielfágii , servodatohppui ja ođđa fágii , johttisámemáhttui , mii lea njuolga jorgaluvvon ruoŧŧelaččaid « nomadkunnskap » .
Skoletiden på reindriftslinjen avviker en del fra det vanlige mønster .	Skuvlaáigi boazodoallosuorggis lea veahá eará go dábálaš minstaris .
Elevene har 27 uker på skolebenken ( november – juni ) .	Ohppiin lea 27 vahkku oahpaheapmi skuvllas skábmamánus geassemánnui .
I tillegg kommer 4 uker fjellkurs ( feltstudiekurs ) i juli – august .	Lassin dasa lea 4 vahkku meahcceskuvla ( gieddeoahpahuskursa ) suoidnemánus borgemánnui .
Dessuten har elevene plikt til å delta minst 7 uker i praktisk reindrift hver høst ( august – november ) .	Muđui lea ohppiin geatnegasvuohta oassálastit unnimusat 7 vahkku praktihkalaš boazodoalus juohke čavčča ( borgemánus gitta skábmamánnui ) .
Denne utplasering kan skje i foreldrenes reindrift , og det er i praksis gjerne blitt slik at foreldrene eller nære slektninger er deres læremestere i de travle høstmåneder når der foregår så mye innen reindriften .	Dát bargu sáhttá leat váhnemiiddis boazodoalus , ja duohtadilis leage nu ahte váhnemat dehe lagas fuolkkit leat sin oahpaheaddjit čakčat go boazodoalus lea hui ollu hommá .
Flertallet av elevene har arbeidet 10–12 uker i reindriften hvert år .	Eanas oassi ohppiin leat bargan 10–12 vahkku boazodoalus juohke jagi .
Foran arbeidsperioden får de utlevert en lang liste over oppgaver som skal stimulere dem til å gjøre iakttagelser som de igjen skal avgi rapport om på skolen .	Juohke bargoáigodaga ovddabealde ožžot oahppit guhkes čállosa mas leat bargobihtát mat galget movttiidahttit ohppiid dahkat fuomášumiid .  Daid birra galget oahppit skuvllas čállit raportta .
Det er av særlig betydning at de samler materiale og får et noenlunde felles erfaringsgrunnlag til videre bearbeidelse i skoletimene .	Lea erenoamáš dehálaš ahte sii čohkkejit materiála ja ožžot sullasaš vásáhusaid maiguin barget viidáset skuvladiimmuin .
Det er også en forutsetning at elevene ved utplassering om høsten skal lære og få øving i arbeidsformer som ikke kan integreres i skolens virksomhet .	Lea maid eaktun ahte go oahppit leat čakčat gieddebarggus dahje bargohárjehallamis , de sii besset oahppat ja hárjehallat dakkár bargovugiid maid ii sáhte skuvladoaimmain čađahit .
Rapportskjema vil stadig minne dem om at dette er en viktig læretid og en del av deres utdannelse .	Raportaskovvi muittuha ohppiid ahte dát lea dehálaš oahppanáigi ja oassin sin oahpus .
Foreldrene er gjerne interessert i å ha elever på dette alderstrinn ( 13 –16 år ) hjemme i høstflyttetiden , fordi det er størst behov for arbeidskraft nettopp da .	Váhnemat háliidit ahte mánát mat leat gaskal 13 ja 16 jagi leat ruovttus čakčajohttináiggi go juste dalle dárbbahuvvojit bargonávccat boazodoalus .
I faget flyttsamekunnskap har vi i noen grad kunnet nyttiggjøre erfaringer fra Sveriges nomadskolor hvor dette har vært orienteringsfag i barneskolen i en årrekke .	Johttisámemáhttofágas leat sáhttán atnit ávkin daid vásáhusaid maid Ruoŧa bealde nomadskuvllain leat dahkan .  Doppe lea dát fága leamaš birasfágan mánáidskuvllas máŋggaid jagiid .
Den linjedelte ungdomsskolen arbeider imidlertid på høyere klassetrinn .	Suorgejuhkkojuvvon nuoraidskuvla bargá fas alit luohkkácehkiin .
Våre elever har sannsynligvis større kjennskap til reindriften hjemmefra , og siden de har valgt en yrkesbetont linje , er det naturlig at vår undervisning tar sterkere preg av yrkesopplæring , spesielt i 9. klasse .	Min oahppit leat ruovttus oahpahuvvon boazodollui ja dáidet dasto dovdet eanet boazodoalu , ja go leat válljen suorggi mii bargguid deattuha , de lea lunddolaš ahte oahpahusas vuhtto nana fidnooahpahus , earenoamážit 9. luohkás .
For å illustrere hva undervisningen har gått ut på , skal her summeres opp de hovedemner som ble behandlet i faget flyttsamekunnskap skoleåret 1961/62 :	Vai čájehivččii mii oahpahusas lea leamaš , de sáhttit dás čoahkkáigeassit makkár váldofáttát leat johttisámemáhttofágas leamaš skuvlajagi 1961/62 :
7. klasse ( 3 timer pr. uke i 27 uker ) : Reinens utbredelse , særtrekk , krav til naturen .	7. luohkás ( 3 diimmu vahkkui , 27 vahkku ) : Ealu lávdan , mihtilmasvuohta , gáibádus ealáhahkii .
Alminnelig zoologi , reinens plass i det zoologiske system , slektninger .	Dábálaš zoologiija , bohcco sadji zoologalaš vuogádagas , sogalaččat .
Reinen – landskapet – mennesket .	Boazu – eanadat– olmmoš .
Tilpassing , naturlig utvalg , naturens og menneskets innvirkning på reinstammen .	Heiveheapmi , lunddolaš válljenmunni , luonddu ja olbmo váikkuhus boazonállái .
Reinens anatomi og fysiologi ( bred behandling ) .	Bohcco anatomiija ja fysiologiija ( viiddis meannudeapmi ) .
Reinens mat ( elementært om reinbeite ) .  Reinens sykdommer , særlig om parasittsykdommer og forebygging av sykdommer .	Bohcco biebmu ( álggolaččat ealáhaga birra ) Boazodávddat , earenoamážit luhtehasdávddaid ja dávddaid eastadeami birra .
Reingjeteryrket , betydning , krav til kunnskaper , innsikt , ferdigheter .	Guođoheaddjifidnu , dehálašvuohta , gáibádusat máhttuide , ipmárdussii , gálggaide .
Gjeting og driving av rein i ulike landskapstyper og forskjellige årstider .	Guođoheapmi ja johttin ealuin iešguđetlágan eatnamiin ja jahkeáigodagain .
Intensiv og ekstensiv reindrift – elementær oversikt .	Intensiiva ja ekstensiiva boazodoallu – vuđolaš oppalašgeahčastat .
Litt driftsøkonomi .	Veahá doaibmaekonomiija .
Reinmerking og merkesnitt – første gangs gjennomgåing .	Bohcco merken ja mearkasánit – vuosttaš geardde oahpahus .
Andre reindriftsfolk og villreinjegere – etnografi .	Eará boazodoalloálbmogat ja goddebivdit – etnografiija .
8. klasse ( 3 timer pr. uke i 27 uker ) : Om behov for orden og administrasjon innen næringen .	8. luohkás ( 3 diimmu vahkkui , 27 vahkku ) : Dárbu ortnegii ja hálddahussii ealáhusas .
Skjematisk oversikt over reindriftsadministrasjonen , Reindriftens ordning i Finnmark , distriktsinndeling , beitetid og flyttebestemmelser , statistikk over reinantall , avkastning , aktuelle problemer for reindriftsadministrasjon .	
Reindriften i resten av Norge , distriktsinndeling , utbredelse og antall , flyttinger og andre særtrekk ved driften .	Skemáhtalaš čilgehus boazodoallohálddahusas .  Boazodoalu vuogádat Finnmárkkus , orohatjuohku , guohtunáigi ja johttinmearrádusat .
Problemer .	
Norsk tamreindrift ved aksjeselskaper i Sør-Norge .	Boazodoallu oasusovttastumis Lulli-Norggas .
Reindriften i Karasjok reinsogn , detaljert om hvert distrikt , flytteveier , grenser ete .	Boazodoallu Kárášjoga boazosuohkanis , vuđolaččat juohke orohaga birra , johttingeainnut ja ráját jna. .
Inntegning på kart 1:100000 .	Tevdnet kártii 1:100000 .
Elevenes rapporter om høstflyttinga .	Ohppiid raporttat čakčajohtimis .
Gjennomgåing og kommentar .	Guorahallat ja kommeanttaid oažžut .
Reindriften i Norden , historisk oversyn over framveksten .	Boazodoallu Davviriikkain , historjjálaš ovdáneami geahčastat .
Flyttsamer – skogsamer – elvesamer .	Johttisámit , vuovdesámit ja johkasámit .
Organisasjoner for samene i de nordiske land .	Searvvit dehe organisašuvnnat sámiid várás Davviriikkain .
Reindriften i Sverige .	Boazodoallu Ruoŧas .
Reindriften i Sovjet-Samveldet .	Boazodoallu Sovjetlihtus .
Reindriften i Alaska .	Boazodoallu Alaskas .
Reinens anatomi og fysiologi , repetisjon og nytt detaljstoff .	Bohcco anatomiija ja fysiologiija , geardduheapmi ja ođđa dieđut .
Slakteutvalg og slaktelære , hovedvekt på økonomi og hygiene .	Njuovvanbohcco válljen ja njuovvanoahppu , ekonomiija ja ráinnasvuohta deattuhuvvo .
Gjeterhunden .	Guođohanbeana .
Stell og dressur .	Beatnaga dikšu ja oahpaheapmi .
Forbedring av reinhundrasen .	Boazobeananáli buorideapmi .
Rovdyrene og reindriften , ulv , jerv , gaupe , rev , ørn og ravn .	Boraspiret ja boazodoallu , gumpe , geatki , rieban , goaskin ja gáranas .
9. klasse ( 5 timer pr. uke i 27 uker ) : Mer om reindriftens administrasjon i praksis .	9. luohkás ( 5 diimmu vahkkui , 27 vahkku : Eambbo boazodoalu hálddahusa birra duohtadilis .
Flyttsamers og formenns adm.  plikter , utferdigelse av skjema etc. , registrering av merke .	Johttisámiid ja ovdaolbmuid hálddahuslaš geatnegasvuođat , skoviid deavdin jna. , mearkka dieđiheapmi .
Reinmerkelære , repetisjon og nytt stoff .	Oahppu bohcco bealljemearkkain , geardduheapmi ja ođđa dieđut .
Lappefogdens årsmelding om reindriften i Finnmark .	Boazodoallohoavdda jahkedieđáhus Finnmárkku boazodoalu birra .
Kommentarer .	Kommeanttat .
Reindriftens muligheter i Finnmark , vurdering av muligheter for økning av reinantallet eller øking av avkastningen tross reduksjon av reinantallet .	Boazodoalu vejolašvuođat Finnmárkkus , boazologu lasiheami vejolašvuođaid árvvoštallan , dehe dietnasa lassáneapmi vaikko unnida boazologu .
Betydning av beitegransking og veterinærforskning .	Guohtuniskama ja šibitdoavtterdutkama árvu .
Om vitenskapelig forskning og forsøk innen reindriften .	Dieđalaš dutkan ja geahččaleamit boazodoalus .
Referat av noen forsøk .	Referáhtat soames geahččalemiin .
Reinens energibehov , ernæringslære .	Bohcco energiijadárbu , biebmooahppu .
Tamreinens beiteproblemer og beitebehov .	Bohcco guohtunváttisvuođat ja guohtundárbbut .
Avlsutvalg , – opprydding i reinflokken .	Nálleválljen – ealu čorgen .
Reinrase etter markedets behov .	Boazonálli márkana dárbbu mielde .
Reinflokkens sammensetning ( alder / kjønn ) og omløpstid .	Makkár bohccot ealus leat ( ahki / sohkabealli ) , eallingierdu .
Næringsstoffer i reinkjøtt .	Biebmoávdnasat bohccobierggus .
Foredling og markedsføring av reinkjøtt .	Bohccobierggu reiden ja márkanfievrredeapmi .
Repetisjon av sentrale avsnitt i 7.  – 9. års pensum .	7.–9. jagiid lohkanmeari guovddáš osiid geardduheapmi .
Terminologi innen reindriften i Finnmark ( samisk ) .	Finnmárkku boazodoalu terminologiija ( sámegiella ) .
Kulturhistorie – reinnomadismen .	Kulturhistorjá – boazonomadisma .
Lesing i Vorren &amp; Manker : Samekulturen .	Lohkamuš Vorren ja Manker : Samekulturen .
På 9. klassetrinn er behandlingene av emnene mer detaljert , og det legges mer vekt på arbeidsoppgaver for elevene .	9. luohkás oahpahuvvojit dárkileappot oasit , ja bargobihtát ohppiide deattuhuvvojit .
Denne årsprøva i reindriftskunnskap fra 1968 viser at reindriftslinja kom ganske langt faglig .	Dát jahkegeahččaleapmi 1968:s čájeha ahte boazodoallosuorgi doalai viehká alla dási .
Språket er ellers norsk - men i beskrivelsen av reinmerkesnitt måtte man bruke samisk !	Muđui lea dárogiella fágagiellan , muhto fertejedje sámegillii čilget náhpaid !
Årsprøva er laga av Bjørn Aarseth og hadde havna i arkivet til Skoledirektøren i Finnmark , der vi fant den ved Statsarkivet i Tromsø .	Bjørn Aarseth dat lei ráhkadan geahččaleami , mii lei vurken Finnmárkku skuvladirektora arkiivvas .  Doppe gávnnaimet dan Romssa stáhtaarkiivvas .
Siden vi kom i gang har vi hatt en viss progresjon i undervisningen fra klasse til klasse .	Dan rájes go álggiimet lea mis leamaš vissis progrešuvdna oahpahusas luohkás luohkkái .
Det har imidlertid skjedd en god del nytt innen reindriften de aller siste årene , spesielt omkring veterinærforskningen , beitegransking og driftsøkonomisk kartlegging .	Boazodollui leat daid maŋemus jagiid ollu ođđa áššit boahtán , earenoamážit šibitdoavtterdutkama ja guohtuniskama oktavuođas ja doaibmaekonomiija kártemis .
Vi har derfor ikke villet binde undervisningen for sterkt til et bestemt pensum for hver klasse , men har gjort bruk av nytt stoff etter hvert som det ble tilgjengelig .	Dan dihte eat leat áigon čatnat oahpahusa dihto lohkanmearrái iešguđetge luohkás , muhto geavahan ođđa lohkamuša dađistaga go dan sáhttá oažžut .
Det kan ha skjedd samtidig på alle klassetrinn .	Dat sáhttá dáhpáhuvvan oktanis buot luohkáin .
Lærestoffet har derfor skiftet litt fra år til år , særlig i 9. klasse hvor vi i 1963 fører ut det 3. årskull .	Danne lea oahpu sisdoallu veahá rievdan jagis jahkái , earenoamážit 9. luohkás , mii 1963:s geargá 3. jagiin .
Men målsetting og hovedtema har vært det samme , for alle kull .	Mihttomearit ja váldofáttát goitge leat leamaš seamma , juohke buolvvas .
Det har vært til stor nytte at en i undervisningen stadig har kunne vise til og arbeide videre med de praktiske erfaringer fra sommerens feltstudiekurser .	Lea leamaš stuora ávkin go sáhttá geasi gieddeoahppokurssaide čujuhit ja bargat viidáseappot praktihkalaš vásáhusaiguin .
Vi har nå 4 kurssomrer med i alt 6 fjellkurs bak oss og skulle dermed ha grunnlag for å trekke opp linjene for permanente kursopplegg .	Mii leat dál čađahan 4 geasi kurssaid , oktiibuot 6 meahccekurssa , ja de galggašii leat doarvái vuođđu álgit lágidit bistevaš kurssaid .
Kursene holdes fra ca. 25. juli og i fire uker framover .	Kurssat álget birrasii suoidnemánu 25. b. ja bistet 4 vahkku .
De er obligatoriske for de elever som samme år skal begynne i 8. og 9. klasse på R-linjen .	Dát leat geatnegahtton kurssat sidjiide geat seamma jagi álget 8. ja 9. luohkáide R-suorggis .
Første året ( 1959 ) hadde vi bare en klasse på kurs og brukte da Karasjok , Billefjord-området ( distr. 16 ) og Ifjordfjellet ( distr. 13 ) som kurssteder .	Vuosttaš jagi ( 1959 ) lei dušše okta luohkká kurssas ja dalle lei Kárášjoga – Billávuona guovlu ( orohat 16 ) ja Lágesduottar ( orohat 13 ) kursabáikin .
Året etter hadde vi 8. og 9. klasse på felles kurs i Karasjok og i Vestgaissene ( distr. 16-17 ) .	Jagi maŋŋel lei 8. ja 9. luohkáin oktasaš kursa Kárášjogas ja Oarjegáissáin ( orohagain 16-17 ) .
Erfaringene med to klassetrinn på samme kurs var ikke bare gunstige , og i 1961 hadde vi atskilte kurs for klassene .	Vásáhusat dáinna guvttiin luohkáin eai lean dušše buorit , ja 1961:s jugiimet dáid luohkáid .
